22,Kernel Outlook PST Viewer.lnk,1.27,2020-11-11 08:43:43,2020-11-11 08:43:43,2020-11-22 10:11:21,Kernel Outlook PST Viewer.exe,44752.88,2020-11-11 08:43:42,2020-04-09 10:08:40,2020-11-11 08:43:42,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Kernel Outlook PST Viewer\Kernel Outlook PST Viewer.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Kernel Outlook PST Viewer\Kernel Outlook PST Viewer.lnk
23,Uninstall Kernel Outlook PST Viewer  .lnk,1.23,2020-11-11 08:43:43,2020-11-11 08:43:58,2020-11-22 10:11:21,unins000.exe,730.16,2020-11-11 08:43:42,2020-11-11 08:43:31,2020-11-11 08:43:42,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Kernel Outlook PST Viewer\unins000.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Kernel Outlook PST Viewer\Uninstall Kernel Outlook PST Viewer  .lnk
24,Microsoft Edge.lnk,2.37,2020-11-09 18:23:20,2020-11-22 02:54:08,2020-11-22 10:11:21,msedge.exe,2894.89,2020-11-22 02:54:08,2020-11-19 00:03:55,2020-11-22 02:54:08,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Edge.lnk
25,Microsoft Message Analyzer.lnk,1.17,2020-10-07 04:33:56,2020-10-07 04:33:56,2020-11-22 10:11:21,MessageAnalyzer.exe,935.71,2016-10-21 01:42:50,2016-10-21 01:42:50,2020-10-07 04:33:53,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Message Analyzer\MessageAnalyzer.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Message Analyzer\Microsoft Message Analyzer.lnk
26,OPN Code Samples.lnk,1.53,2020-10-07 04:33:56,2020-10-07 04:33:56,2020-11-22 10:11:21,OPNAndConfiguration,0.0,2020-10-07 04:33:48,2020-10-07 04:33:48,2020-10-07 04:33:48,Fixed (Hard disk),4229372527,C:\Users\jaewon\AppData\Local\Microsoft\MessageAnalyzer\OPNAndConfiguration,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Message Analyzer\OPN Code Samples.lnk
27,Database Compare.lnk,2.47,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,AppVLP.exe,488.76,2020-09-24 06:15:25,2020-09-24 06:15:25,2020-10-17 13:36:23,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Client\AppVLP.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Database Compare.lnk
28,Office 언어 기본 설정.lnk,2.33,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,SETLANG.EXE,75.88,2020-10-17 13:47:44,2020-10-17 13:47:44,2020-10-17 13:47:44,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\SETLANG.EXE,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Office 언어 기본 설정.lnk
29,Office 업로드 센터.lnk,2.47,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,AppVLP.exe,488.76,2020-09-24 06:15:25,2020-09-24 06:15:25,2020-10-17 15:34:09,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Client\AppVLP.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Office 업로드 센터.lnk
30,Office용 원격 분석 대시보드.lnk,2.37,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,msotd.exe,56.35,2020-10-17 13:47:42,2020-10-17 13:47:42,2020-10-17 13:47:42,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\msotd.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Office용 원격 분석 대시보드.lnk
31,Office용 원격 분석 로그.lnk,2.39,2020-10-17 15:34:09,2020-10-17 15:34:09,2020-11-22 10:11:21,msoev.exe,56.3,2020-10-17 13:47:42,2020-10-17 13:47:42,2020-10-17 13:47:42,Fixed (Hard disk),4229372527,C:\Program Files\Microsoft Office\root\Office16\msoev.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office 도구\Office용 원격 분석 로그.lnk
